Chlamydomonas reinhardtii
Cunninghamia lanceolata
Picea abies
Pinus densata
Pinus taeda
Physcomitrella patens
Selaginella moellendorffii
Amborella trichopoda
Salicornia europaea
Panax ginseng
Cynara cardunculus
Helianthus annuus
Helianthus argophyllus
Helianthus ciliaris
Helianthus exilis
Helianthus paradoxus
Helianthus petiolaris
Helianthus tuberosus
Arabidopsis lyrata
Arabidopsis thaliana
Brassica napus
Brassica oleracea
Brassica rapa
Camelina sativa
Carica papaya
Cucumis melo
Cucumis sativus
Hevea brasiliensis
Manihot esculenta
Ricinus communis
Acacia auriculiformis
Arachis hypogaea
Acacia mangium
Glycine max
Glycine soja
Lotus japonicus
Medicago truncatula
Phaseolus vulgaris
Vigna unguiculata
Avicennia marina
Digitalis purpurea
Rehmannia glutinosa
Salvia miltiorrhiza
Salvia sclarea
Linum usitatissimum
Gossypium arboreum
Gossypium herbaceum
Gossypium hirsutum
Gossypium raimondii
Theobroma cacao
Eugenia uniflora
Paeonia lactiflora
Aquilegia caerulea
Bruguiera cylindrica
Bruguiera gymnorhiza
Fragaria vesca
Malus domestica
Prunus persica
Citrus clementina
Citrus reticulata
Citrus sinensis
Citrus trifoliata
Populus euphratica
Populus trichocarpa
Nicotiana tabacum
Solanum lycopersicum
Solanum tuberosum
Vitis vinifera
Asparagus officinalis
Aegilops tauschii
Brachypodium distachyon
Elaeis guineensis
Festuca arundinacea
Hordeum vulgare
Oryza sativa
Sorghum bicolor
Saccharum officinarum
Saccharum sp.
Triticum aestivum
Triticum turgidum
Vriesea carinata
Zea mays
